track,id,playlist_id,mode,key,variable,value
Pumped Up Kicks,3Dzso9Q2WwupEclqgxBZht,00X3SYeYrgAdtgrKt8QzsJ,1.0,0.0,danceability,0.669
Can't Believe - Original Mix,4OJPEwttOIQSt9rkGN5De8,00X3SYeYrgAdtgrKt8QzsJ,1.0,0.0,danceability,0.688
You’re The Best Thing About Me - U2 Vs. Kygo,4QWSk7Ynu34r3EOHSwp9nI,00X3SYeYrgAdtgrKt8QzsJ,1.0,2.0,danceability,0.779
Lovers For The Weekend,7FvfODgUxsxQNDaYDEboIL,00X3SYeYrgAdtgrKt8QzsJ,1.0,3.0,danceability,0.571
Nalu,2oUSxhTzXlYyM7D31ohQok,00X3SYeYrgAdtgrKt8QzsJ,0.0,7.0,danceability,0.675
L.A. - Sistek Remix,33JqvpXextFBMRw4kTiJMd,00X3SYeYrgAdtgrKt8QzsJ,1.0,4.0,danceability,0.773
Only For The Better,2XI5yPRHlAg2a2xZtlTbpI,00X3SYeYrgAdtgrKt8QzsJ,1.0,1.0,danceability,0.597
Tear Me Down (feat. Philip Rustad),71UYuIZf0TeXAjyy72COVr,00X3SYeYrgAdtgrKt8QzsJ,1.0,11.0,danceability,0.72
Just Smile (feat. Milow),2B5PZ35KsM6Dtx9Zz0Xpji,00X3SYeYrgAdtgrKt8QzsJ,0.0,4.0,danceability,0.763
Break Loose (feat. NEIMY),3SB4vG0uf9Lpd6ITYUSX4Z,00X3SYeYrgAdtgrKt8QzsJ,1.0,0.0,danceability,0.413
Riva (UK Radio Edit) [Restart the Game],41JQAZ5u0Ta5e9rc0e3dhg,00X3SYeYrgAdtgrKt8QzsJ,0.0,2.0,danceability,0.615
Never Need,7wDo3yDdE2pzHrhutOAPc1,00X3SYeYrgAdtgrKt8QzsJ,1.0,2.0,danceability,0.641
Live For,0F9fZwEu2cWSgqoRWzAtAS,00X3SYeYrgAdtgrKt8QzsJ,1.0,0.0,danceability,0.552
Summer Feeling,793OuR8rJ0zpVp708ONAxO,00X3SYeYrgAdtgrKt8QzsJ,1.0,10.0,danceability,0.651
Better,0mdaq2XYJsFTXm3rLMdUc0,00X3SYeYrgAdtgrKt8QzsJ,1.0,6.0,danceability,0.568
Azoteas - Acústico,3AMvFlxy63yFjYPq97Y26Q,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.649
Todo contigo,6syVXJ8MF5axHLZ6A1TGMn,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.852
Llegaremos a tiempo,30aozCoVbhvG7Ejkb20T8G,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.449
Pequeña Gran Revolución,3ztnp89aCU5OMQBlbIkEI8,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.578
Ceniza y Alquitrán,7rq26P3FgYsKfVTzEJ8AcI,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.629
5 de la Tarde,3mlvmh76YzIOkUhmJlQodB,3FInOSJaKv5QzLQrd3lCgA,1.0,1.0,danceability,0.604
Guantanamera,5QAya5bSSiKlh1h4qeeq38,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.512
Cabecita Loca,4qQUIX0d8HcJW4TsHTrBaf,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.763
Vacío,7JK2tn5VBd1I8hlZ8bYSeU,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.587
"Quiero, Quiero y Quiero",1LyZX8u8DqVFULMViZUwcn,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.771
Cien por Cien,0l84z2l1z5eYQaNzGZTPhU,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.641
Ya mi mama me decía,2AviITab6bCBtts9zJIPYz,3FInOSJaKv5QzLQrd3lCgA,1.0,6.0,danceability,0.677
Sabéis Quiénes Sois,2LzQ5MZuUFAuuqSctvnA7M,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.548
Aves Enjauladas,7vi5ATzi8QEwPb2flP5V2J,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.583
París,3DDqHnaiXwHqIDOQHsTn29,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.712
De seis a seis,0olS1LlML9VuZLVf1lsBEc,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.515
Vértigo,0FKCJOh4l6DM5QTuIxEK0x,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.641
Venecia - Acústico,2Q4iEmSiDVEenNSGk2rmoZ,3FInOSJaKv5QzLQrd3lCgA,1.0,10.0,danceability,0.487
Tierra,6wNnwGKmH9u2HSAjUQ4kdR,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.437
Copenhague,4bZEZhCq2kqUxnMacXVl5x,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.559
Es el Día,4eubvXViV8OWpTYU6ZpQXv,3FInOSJaKv5QzLQrd3lCgA,1.0,7.0,danceability,0.817
Por Última Vez (con Yoly Saa) - MUU Sessions,6srnSjztnUZhf8zJqPOotI,3FInOSJaKv5QzLQrd3lCgA,0.0,6.0,danceability,0.507
Definiciones,1MDB83uvkDYT13wXDpYuLQ,3FInOSJaKv5QzLQrd3lCgA,1.0,4.0,danceability,0.301
Hay un Fuego,4jDnHToLAvPlAPB9aiMx3z,3FInOSJaKv5QzLQrd3lCgA,1.0,2.0,danceability,0.308
Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.576
Pride (with mxmtoon),708HrtYYClY6j6EOiToEBy,3FInOSJaKv5QzLQrd3lCgA,1.0,0.0,danceability,0.839
Sink,3lTxG17fsMrjrNkTNJ9NaZ,3FInOSJaKv5QzLQrd3lCgA,1.0,3.0,danceability,0.565
Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,3FInOSJaKv5QzLQrd3lCgA,1.0,11.0,danceability,0.641
