,artist,artist_id,genres,track_id,popularity,image_url
54,Bowerbirds,4MoGkOmfK6oKi1Isc8Iv9m,indie folk,3o2tw8emnaXFAIKBYdKW5T,35,https://i.scdn.co/image/ab6761610000e5eb22ba014f32c717b8a399cb36
55,Bowerbirds,4MoGkOmfK6oKi1Isc8Iv9m,melancholia,3o2tw8emnaXFAIKBYdKW5T,35,https://i.scdn.co/image/ab6761610000e5eb22ba014f32c717b8a399cb36
56,Bowerbirds,4MoGkOmfK6oKi1Isc8Iv9m,north carolina indie,3o2tw8emnaXFAIKBYdKW5T,35,https://i.scdn.co/image/ab6761610000e5eb22ba014f32c717b8a399cb36
57,Bowerbirds,4MoGkOmfK6oKi1Isc8Iv9m,stomp and holler,3o2tw8emnaXFAIKBYdKW5T,35,https://i.scdn.co/image/ab6761610000e5eb22ba014f32c717b8a399cb36
58,Mauve,4H6XYH7PhoJXhD45W93wkh,,50AtbZbvd3OXD2NDqy4G29,63,https://i.scdn.co/image/ab6761610000e5eb232ba7b328730fc327bdda7f
59,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,australian singer-songwriter,0wvCSSMj3gkLeJPl8E2FrK,63,https://i.scdn.co/image/ab6761610000e5ebd976f3acccac24a7654ce66d
60,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,folk-pop,0wvCSSMj3gkLeJPl8E2FrK,63,https://i.scdn.co/image/ab6761610000e5ebd976f3acccac24a7654ce66d
61,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,indie anthem-folk,0wvCSSMj3gkLeJPl8E2FrK,63,https://i.scdn.co/image/ab6761610000e5ebd976f3acccac24a7654ce66d
62,Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,british singer-songwriter,1XHGkqgymzwzFWFWKqi6O8,71,https://i.scdn.co/image/ab6761610000e5eba47c45d0033c9ffe03e30bc4
63,Tom Rosenthal,1AgxgADPuRIW1wyaA4OKcB,pop,1XHGkqgymzwzFWFWKqi6O8,71,https://i.scdn.co/image/ab6761610000e5eba47c45d0033c9ffe03e30bc4
