track,id,playlist_id,playlist,mode,key,variable,value
,4peF3yGZAZfeOFDahi6Ig5,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.686
,3cLJPj03j74cOPa2g7ci3M,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.559
,0Tel1fmuCxEFV6wBLXsEdk,2AjwEGmjc0VEaf25Dbjb1M,,1.0,2.0,danceability,0.589
,5WOnsi0Bug74LmhxcPfKvR,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.694
,6qIEUT4vS2g2g8EgqOS62o,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.65
,4IOK3PjSHrQm6dgYZdHZkE,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.633
,3g372NUHCqiBXIulMSBstI,5U2MYFAcQ3yT7XbHYgGPmb,House,1.0,1.0,danceability,0.711
,0gqKw1OIuiSC9Ad6QVWXAK,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.674
,5fzSnfMrh4x6HPjJKgXkjj,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.533
,5cBz1eRdiLpTVcKBZkHnul,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.733
,4oi2tw5fWJjfE8UQsW0IO5,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,2.0,danceability,0.608
,5ScYUv4grVUOvOECp6TiKZ,37i9dQZF1DWSRc3WJklgBs,,0.0,10.0,danceability,0.681
,3WBRfkOozHEsG0hbrBzwlm,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.55
,7A9y0ywTGS4iPM5huZAhKf,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.632
,0nFiXjQUmqZJnskf6nKi70,37i9dQZF1DZ06evO2FusBW,,0.0,8.0,danceability,0.366
,5CkNcNcocnAWbshrLuCl2B,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.616
,7DwVS1naLT9jP0PE78jg4P,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.808
,4qOErzIVJ5dGY9U0aAZhwz,37i9dQZF1DWSRc3WJklgBs,,0.0,10.0,danceability,0.503
,0qLVLi1IS7TjVRXfVGWhVk,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.577
,10BJncb5uin37ip2IhSoJz,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.515
,6VpRQDOM7nQ6viuVUSXWGn,37i9dQZF1DWSRc3WJklgBs,,0.0,1.0,danceability,0.401
,6iZ2inFhxOuHKxOlTwwhZq,37i9dQZF1DWSRc3WJklgBs,,0.0,4.0,danceability,0.737
,2QLdrqojYq2yRKHqv6tXh1,37i9dQZF1DWSRc3WJklgBs,,1.0,10.0,danceability,0.318
,7ptHMwc3zT9qudXy668WDK,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.73
,2OcT8PP3BIeTXMp1rYBHiS,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.711
,60nV8MWOEnAalMOm1Fgoua,5U2MYFAcQ3yT7XbHYgGPmb,House,1.0,10.0,danceability,0.564
,4Y3hmcRgFw88qJnXGzCwkq,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.504
,1TytykMo9zFzNdRbqTxfep,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.629
,1Z0N9hxlzZRPAKI5Q33jsq,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.519
,0bMzCNqq4U5pQakqcyfJHR,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.574
,5YOcEEKHgs1IgqudZ5vx8Q,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.686
,32K4G5jEHKSXpdvqtJyMqp,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.731
,7grzdNt3eQRiBC70GksRp1,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.621
,0Uyi3DHJMoGURtYihR6LAN,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.309
,47jk6lI3sXV4hDtJiTFucQ,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.69
,6Qv3OWGNixqEobRC5vM0Bp,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.614
,0MH5FOAb8S35Lqdt6Jjrly,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.561
,3IUiA6msgyFl3f8kzbdgQP,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.663
,4YEakHI6sat9bV875QBNcW,37i9dQZF1DWSRc3WJklgBs,,0.0,5.0,danceability,0.417
,4qDpLaFGf5ampf2DXD2TMA,37i9dQZF1DWSRc3WJklgBs,,0.0,9.0,danceability,0.56
,3dgVBgrgHLzbhAYepa1V1V,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.679
,4ho6jJU2nbX0NbiF33i4tX,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.496
,371P951lrWGPczNJbBegJe,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.658
,2Fw3ycWAC38FhXEl12W6GT,37i9dQZF1DWSRc3WJklgBs,,0.0,2.0,danceability,0.657
,7nZUNopZZQX1PhfuvrXTWN,37i9dQZF1DWSRc3WJklgBs,,0.0,6.0,danceability,0.708
,1PBk2knn4anq0vaS5KGDG2,5U2MYFAcQ3yT7XbHYgGPmb,House,1.0,0.0,danceability,0.548
,2lngSOnNo8TtPnviH2wLyz,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,2.0,danceability,0.799
,5AiFd5Qn7B2bJNX8DsT1fC,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.799
,70ssLyL7lsxio25h7maT7I,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.618
,3zNavZ4qGN1kwNaBUCEY1u,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.714
,1Yqe3VYgjOhhJLtqkla2zc,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.469
,2VSPDYhB0070TTuL0ySE7b,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.542
,6t0qnREJkdyH5Ojehn0kZg,35oLMiAK4VM2T0ek3PTPIc,Chillin',1.0,8.0,danceability,0.761
,5IfHQilcjciOxJQBFCNCCN,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.674
,07VcTAooOBP8hIluuUS5xr,37i9dQZF1DWSRc3WJklgBs,,0.0,5.0,danceability,0.768
,4LfJbl62cw3nr0POfs8Yy5,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.403
,7vtiFlANjXGn0nEDsHfJpn,37i9dQZEVXcJeoEfpyxSVE,,0.0,2.0,danceability,0.416
,37107dPB28NderX4Tpbirg,37i9dQZF1DWSRc3WJklgBs,,0.0,5.0,danceability,0.749
,0KCTz5CgMquA0rbREbLHVr,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.531
,5eTaQYBE1yrActixMAeLcZ,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.636
,3Dr0xDJwXy6JkiHNJfv5zd,37i9dQZF1DWSRc3WJklgBs,,0.0,1.0,danceability,0.644
,2Me5ovqaW3PKDYPBlXwq8a,37i9dQZF1DWSRc3WJklgBs,,0.0,11.0,danceability,0.707
,2kPnS1YwvdyJM1f440hbDw,37i9dQZF1DWSRc3WJklgBs,,1.0,6.0,danceability,0.526
,4BCda1bJa57fTMB2laaOeX,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.544
,6evviQsK6E43H91dZIHDi3,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.775
