track,msPlayed,Unnamed: 0,id,playlist_id,duration_ms
Leave No Man Behind,8123502,514.0,0eNT9B4PjPpzmOTFSbUWjh,4MdI4iitwoDXP7odDScsfN,378760.0
Sunset,8091502,222.0,6VwhXg2o0gIqoBVC8b2xQJ,5U2MYFAcQ3yT7XbHYgGPmb,266318.0
Not Surprising,8016019,223.0,12cFJ3zss3Srz4CSNjk0BY,3FInOSJaKv5QzLQrd3lCgA,238539.0
Galicia - En Directo en acústico,7652816,247.0,6YT1amT59hvbSyGfEIJMoX,3FInOSJaKv5QzLQrd3lCgA,362985.0
Volveré a Empezar,7643817,5.0,2KDNePHNaahkf8okcATp51,3FInOSJaKv5QzLQrd3lCgA,148000.0
Might*U,7537913,517.0,3YfBeHLGH9EhRPVHYaQMyD,4MdI4iitwoDXP7odDScsfN,389160.0
No Love,7473907,524.0,7bHT9osSq1rwT2yaImzqCi,5nTltQ4wLYhQzVi9J86LLT,299507.0
Valientes de Sofá,7331789,2.0,7jfMSrCnMhdwqpFEV3woIu,3FInOSJaKv5QzLQrd3lCgA,209555.0
Tessa,7297155,475.0,2MaUwANhrU6KF8AK71ezsX,4MdI4iitwoDXP7odDScsfN,345467.0
Stick Season,7148024,246.0,0GNVXNz7Jkicfk2mp5OyG5,3FInOSJaKv5QzLQrd3lCgA,182347.0
110,7125106,167.0,5ocNWa8l7pkt9jEvYJLQzp,3FInOSJaKv5QzLQrd3lCgA,211779.0
My Name Is Barbossa,7068398,484.0,5dUQ00lCQ8IPMs149DIdhf,4MdI4iitwoDXP7odDScsfN,333547.0
What's Up Danger (with Black Caviar),6984838,527.0,5zsHmE2gO3RefVsPyw2e3T,5nTltQ4wLYhQzVi9J86LLT,222307.0
Como Un Amuleto,6888268,231.0,2nRjw9V6oQmueOWsaoymJ4,3FInOSJaKv5QzLQrd3lCgA,191689.0
Not Afraid,6871315,523.0,7Ie9W94M7OjPoZVV216Xus,5nTltQ4wLYhQzVi9J86LLT,248133.0
The Fighter (feat. Ryan Tedder),6814397,520.0,77ZdAoTHYoF6Umo76HFD4m,5nTltQ4wLYhQzVi9J86LLT,228533.0
Misfit Toys (from the series Arcane League of Legends),6789286,538.0,40giNwfX1pR3smltxvs3dB,5nTltQ4wLYhQzVi9J86LLT,189692.0
Forever My Love,6706076,219.0,6TYuTMfBTU4hpXrhLsjIiV,3FInOSJaKv5QzLQrd3lCgA,190893.0
Love The Way You Lie,6671849,522.0,15JINEqzVMv3SvJTAXAKED,5nTltQ4wLYhQzVi9J86LLT,263373.0
"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",6665843,534.0,3r9m79pHykbs4FrCXlq1oO,5nTltQ4wLYhQzVi9J86LLT,258680.0
The Night King,6647237,491.0,1aDklx1GaBqHFowCzz63wU,4MdI4iitwoDXP7odDScsfN,530532.0
Blue Eyes,6550018,148.0,0JIGBObzd2N4gv8xDeJIQz,3FInOSJaKv5QzLQrd3lCgA,237378.0
Fast Lane,6454954,533.0,2c5Isyd07hWsl7AQia2Dig,5nTltQ4wLYhQzVi9J86LLT,249560.0
Equilibrista,6435423,36.0,4UV5daGmBU5KjWOn40y0kD,0p8pKNSfrcQ2KlcGucdMqV,230586.0
Dynasties and Dystopia (from the series Arcane League of Legends),6221070,539.0,2k2RPHMeyercU9PauiKNbU,5nTltQ4wLYhQzVi9J86LLT,178080.0
Los Tontos,6215276,45.0,4DoEHKWh8k6vYDleECQkJx,0p8pKNSfrcQ2KlcGucdMqV,192787.0
