,track,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top-track
72,Horse to Water,0szmjOw9XbtbQYWz0GvXSp,0.519,0.622,6.0,-9.135,0.0,0.0319,0.343,0.0699,0.497,0.514,97.004,244960.0,False
73,Carry You,0u4rkpmNtgcFxYHepnVF4v,0.334,0.397,7.0,-7.993,1.0,0.0284,0.558,0.0774,0.126,0.035,93.445,273107.0,False
74,Barcelona,58Qol5xzalwqF912GE9vQv,0.629,0.572,5.0,-9.332,1.0,0.0307,0.32,0.000853,0.109,0.182,93.997,188960.0,False
75,Runaway,541OLGN9Qfp5lizRnGk8fG,0.714,0.84,0.0,-6.141,1.0,0.15,0.21,0.0,0.0461,0.194,125.955,187124.0,False
76,Angela (Single Version),5kGBSOrKYmhRfdPBw4xD8D,0.652,0.601,4.0,-7.988,1.0,0.0317,0.625,0.000165,0.17,0.302,130.308,178840.0,False
77,Colder Heavens,6JOmZY3BQcnM6A5DIxn5xB,0.383,0.547,5.0,-9.899,0.0,0.0376,0.771,0.00216,0.0913,0.282,91.899,273893.0,False
78,Where's My Love - Acoustic,6lvGthAouA0KfQ29tz4XAt,0.554,0.226,3.0,-11.323,1.0,0.0281,0.891,0.0321,0.107,0.229,104.005,239880.0,False
79,El Buho,3E2dyGd4VQaY6uWHyQ9ok7,0.553,0.391,3.0,-12.303,0.0,0.0315,0.933,0.00123,0.0993,0.242,105.989,231707.0,False
80,Vagabond,2R3I5DiDf8bLz2QjrPmUpk,0.571,0.399,4.0,-11.92,1.0,0.0364,0.766,0.0146,0.0926,0.612,141.932,129464.0,False
81,Making All Things New,0g3Vm5xbQsDslbTeN9SwEb,0.787,0.343,0.0,-11.413,1.0,0.0298,0.895,0.0275,0.11,0.47,100.007,159600.0,False
82,The Moons Detriment,6dRKRVyjzxa2efBCXZez6R,0.519,0.173,11.0,-16.078,1.0,0.0284,0.932,0.113,0.102,0.282,92.306,155000.0,False
83,Nimbin,6wHgmOZfLWmn685tDFXsX7,0.357,0.406,4.0,-10.148,1.0,0.0491,0.745,0.0324,0.0754,0.186,73.677,283653.0,False
84,You Sigh,7hMKqhlMqxF7ULZiUMN5AH,0.629,0.451,6.0,-9.974,1.0,0.0284,0.852,0.06,0.141,0.681,90.965,178827.0,False
85,Distant Sures,6uBexmz61ckt5XQRqTgF3M,0.604,0.363,10.0,-11.674,1.0,0.0295,0.876,0.166,0.165,0.672,88.377,191267.0,False
86,Love Brought Weight,66deoxrDAEK7Qg1p0Vioxe,0.366,0.327,7.0,-15.603,1.0,0.0344,0.699,0.363,0.0759,0.066,116.66,185747.0,False
87,New Wall,5oF2zpG0BoSdqVkN7bwyWs,0.56,0.143,8.0,-15.333,1.0,0.0363,0.872,1.37e-06,0.109,0.344,138.37,158427.0,False
88,Minimum,4FwaJmXeZxr1096KItcUQq,0.492,0.841,0.0,-9.181,0.0,0.0904,0.729,0.00027,0.101,0.313,177.869,194907.0,False
89,The Stable Song,3G9ETaH55bMQx8hwNhAgbU,0.626,0.432,2.0,-11.948,1.0,0.0283,0.633,0.00239,0.127,0.361,137.93,360933.0,False
90,Whisper In Her Ear,5YuHMfznSrE6qsKGQzcAnO,0.586,0.208,5.0,-15.224,1.0,0.0343,0.947,0.0177,0.133,0.451,90.574,244520.0,False
91,All Is Well,700xxgbIpH0YNMideY7sWR,0.316,0.413,11.0,-12.216,1.0,0.0334,0.856,0.00245,0.143,0.245,155.69,256680.0,False
92,House of Stone,1Cy1mZ5KVGh4lU5gyBEmpq,0.413,0.171,2.0,-12.314,1.0,0.0293,0.929,0.00591,0.083,0.166,81.966,196813.0,False
93,Digging Shelters,2Z9l8Des6klAaz83wTKXnP,0.513,0.274,4.0,-11.394,1.0,0.0286,0.835,0.0976,0.11,0.279,76.375,220867.0,False
94,Skinny Love,1NyFRrFiJAJIaR6icj1goI,0.592,0.256,4.0,-14.031,0.0,0.0449,0.842,2.38e-06,0.088,0.103,76.361,238533.0,False
95,Holocene,6DESft0qm6RhoYf5wzeoGH,0.38,0.306,1.0,-14.446,1.0,0.0305,0.942,0.323,0.123,0.157,147.889,336613.0,False
96,Chrysalis,6AKka4GmQYHOy624YSPCSh,0.573,0.383,3.0,-18.81,1.0,0.0719,0.956,0.768,0.106,0.0814,170.969,224839.0,False
97,Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,0.6,0.186,3.0,-15.926,1.0,0.0317,0.909,0.00102,0.104,0.468,110.044,217467.0,False
98,Mango Tree,0VII3kl4B4IbJ5Hpk9KPwf,0.619,0.454,7.0,-13.313,1.0,0.0285,0.842,0.152,0.0953,0.389,108.28,223467.0,False
99,Troubles Will Be Gone,7wH9OVoKhETiy1jFEzfFA8,0.486,0.43,2.0,-8.308,1.0,0.0326,0.934,1.21e-05,0.126,0.623,120.45,181853.0,False
100,July,3vfG9ucWJPkQltYbkZVunx,0.597,0.312,7.0,-11.451,1.0,0.0412,0.873,1.34e-06,0.129,0.266,105.85,194023.0,False
101,Jolene,2fSIF8CJhoc9CJhF9vJDXp,0.588,0.142,7.0,-15.196,1.0,0.0329,0.863,0.000162,0.0953,0.288,119.656,250867.0,False
102,Dreamer,4bqeBWlKwz8PoEjI4v7ggz,0.678,0.482,2.0,-11.097,0.0,0.0426,0.726,0.00319,0.0803,0.317,100.008,220564.0,False
103,Little River,5jDtpfcwpvaY8lU4ha7NKC,0.477,0.284,10.0,-8.791,1.0,0.0431,0.934,1.68e-06,0.118,0.376,100.423,225920.0,False
104,The Guy That Says Goodbye To You Is Out Of His Mind,3KsWQeEN4RhdNyZidVYlck,0.615,0.405,2.0,-13.242,1.0,0.0484,0.644,2.54e-06,0.145,0.525,93.498,196507.0,False
105,Quiet Town,5B6bSSnk7Wr4Fnb4ohNzry,0.602,0.491,7.0,-11.92,1.0,0.0308,0.226,0.000398,0.118,0.871,113.981,151973.0,False
106,Dirty Old Town,567EmmCbOtpEuaVC2zznU6,0.555,0.418,0.0,-12.7,1.0,0.0455,0.309,0.00119,0.237,0.328,159.764,246453.0,False
107,Forest Fires,6Vejmu5dz6MMOnn2pIko9q,0.64,0.295,7.0,-12.255,0.0,0.0299,0.701,1.08e-05,0.121,0.152,117.967,210925.0,False
108,In Your Arms,7fKF4HdftIEt3lLAy3rDG6,0.648,0.564,5.0,-10.269,1.0,0.0682,0.673,0.0,0.115,0.377,92.958,215238.0,False
109,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5.0,-3.678,0.0,0.046,0.0206,0.0,0.0754,0.571,114.071,165265.0,False
110,Gone Tomorrow,5CQHTuNbYlEA4fZdxQ4PMi,0.585,0.239,9.0,-15.167,1.0,0.0309,0.697,0.00133,0.159,0.0933,101.182,207520.0,False
111,Orange Sky,6yeh88TFXEyLvSk3BlfAI5,0.643,0.334,7.0,-11.893,1.0,0.0544,0.843,0.00369,0.0581,0.4,139.488,371147.0,False
112,All My Days,5NwpfDSHmNc7gu23GQK5DF,0.438,0.319,2.0,-15.969,1.0,0.0304,0.789,0.756,0.106,0.529,88.538,297307.0,False
113,Helplessness Blues,1pbOvzdkL5iujppWgzBQdS,0.324,0.463,8.0,-7.247,1.0,0.0336,0.0781,5.63e-06,0.103,0.2,125.295,303387.0,False
114,Let's Be Still,5IJnj6Um7jVuRPT4WGj1z6,0.636,0.411,9.0,-10.723,1.0,0.0278,0.678,0.00425,0.106,0.564,130.679,268347.0,False
115,Only Love,7DSBxP0sGTuEb249LMJSLY,0.647,0.81,2.0,-5.804,1.0,0.0521,0.0658,0.00236,0.237,0.648,108.011,172222.0,False
116,Shape of Love,3eeIdvZqXaffY0yVRgbGfQ,0.625,0.736,1.0,-8.658,0.0,0.0325,0.118,0.0,0.167,0.909,105.529,188453.0,False
117,Halogen Moon,15ceG2IWhnKsyLFEFlNabj,0.427,0.103,1.0,-15.805,1.0,0.0637,0.915,0.000125,0.113,0.338,169.147,147467.0,False
118,Even the Darkness Has Arms,6W49z468BT75GsO2tCcBtq,0.508,0.652,11.0,-13.102,1.0,0.0429,0.813,0.148,0.29,0.746,101.313,230518.0,False
119,Silver Moon,61X18xzfxAYZGouAXm4ISi,0.397,0.269,2.0,-13.249,1.0,0.0366,0.89,0.34,0.111,0.0514,116.938,291360.0,False
120,"Under Mountain, Under Ground",5XvS3t5O7c9X8cSoIIp3At,0.513,0.84,2.0,-6.07,1.0,0.0321,0.183,0.0546,0.106,0.269,95.048,260067.0,False
121,Every Night,3ADf6eSlkURLABzIELamUh,0.574,0.551,4.0,-10.335,1.0,0.0287,0.765,0.0379,0.105,0.317,117.946,198400.0,False
122,Cucurucu,34a7VkqKRQ4pA2598XizKN,0.339,0.616,6.0,-7.888,0.0,0.0761,0.177,4.49e-05,0.0825,0.445,97.021,267573.0,False
123,Blood Red Sentimental Blues,6m2OUSC736AxOVJ3W0FcEr,0.566,0.716,10.0,-6.254,1.0,0.0253,0.218,3.3e-06,0.185,0.679,92.982,276333.0,False
124,New York,1DJFBjtxPwiTlHFpBnp7kp,0.21,0.21,4.0,-17.916,1.0,0.0508,0.96,0.885,0.11,0.0395,165.257,210760.0,False
125,Wolves,5IPIpXq8znsSOybCsbd88v,0.331,0.288,1.0,-11.067,1.0,0.0311,0.943,0.00453,0.0756,0.097,130.752,374640.0,False
126,Sunsetz,69UqtTHfUKAJweQwEStRzC,0.412,0.477,9.0,-9.381,0.0,0.029,0.0542,0.798,0.0975,0.141,75.302,214680.0,False
127,"10,000 Weight in Gold",62xoeztSUzgIBTQgbRBBRR,0.485,0.491,1.0,-9.537,1.0,0.0229,0.451,0.588,0.141,0.254,82.842,252307.0,False
128,Open Road,1IycYHHYjKgxvB8AHCdu7O,0.564,0.455,5.0,-8.282,1.0,0.0369,0.807,0.000184,0.0832,0.305,132.196,258731.0,False
129,Virginia May,435XaJ1Mqo5Pd7AwRE7nrF,0.542,0.318,0.0,-12.797,1.0,0.0369,0.826,4.07e-05,0.106,0.489,88.881,178347.0,False
130,Yours to Keep,0ljxKa4x3ahmDeQOrLCjJr,0.536,0.517,1.0,-8.184,1.0,0.0462,0.496,0.0513,0.38,0.229,85.479,202427.0,False
131,Pulaski at Night,1AJ6dy0kvwMqGNPAT8XlJp,0.446,0.643,7.0,-7.925,1.0,0.0561,0.67,0.000818,0.0951,0.531,99.608,289093.0,False
132,Wild Country,0Hb2wHT0WevP1oSjp1Ubev,0.554,0.566,9.0,-8.728,1.0,0.0295,0.451,0.000364,0.128,0.367,86.051,223584.0,False
133,All Shades of Blue,1xhgkhzFBEg7n1SrUgmSmU,0.478,0.299,2.0,-10.908,1.0,0.032,0.882,0.000687,0.11,0.287,161.388,213573.0,False
134,We Will Run,5q3lFZYp9HLaXATffQSgcj,0.652,0.627,11.0,-9.601,1.0,0.034,0.493,0.036,0.166,0.467,100.113,255520.0,False
135,Leopold Street,54JRSJZ0HjBkAiNWRBvsvH,0.54,0.473,2.0,-9.975,1.0,0.031,0.409,0.000169,0.169,0.585,87.01,206880.0,False
136,Six Years,7DeJ8TdwgNpz6Un0SiskhX,0.402,0.476,0.0,-8.823,1.0,0.0289,0.334,0.0701,0.0947,0.164,86.06,282147.0,False
137,American Girl,35D0xUf06Tu3yr1sqr4Vsv,0.636,0.366,0.0,-9.974,1.0,0.026,0.918,0.000498,0.136,0.305,103.002,175500.0,False
138,Blackbird,6vQgl7ZkdIKGH8swFlVqIb,0.696,0.739,5.0,-6.616,1.0,0.0352,0.201,0.000726,0.113,0.169,117.973,179853.0,False
139,To Be Young,2sGMdSJKbxJFHVzI7F4zuR,0.641,0.177,2.0,-11.405,1.0,0.0349,0.853,2.24e-06,0.115,0.369,117.259,268760.0,False
140,Elation,7I7LzsOIMxsFZ3B8nDDG7y,0.563,0.275,8.0,-12.969,1.0,0.0461,0.851,0.0022,0.0738,0.237,82.528,210573.0,False
141,Funtimes in Babylon,2OTovEYN1lx57YfLEe4ylM,0.536,0.489,4.0,-7.669,1.0,0.0319,0.74,0.0,0.0948,0.364,104.598,219893.0,False
142,Which Side I'm On,6mpcjAOONOJTKHClEkbamp,0.409,0.619,7.0,-6.921,1.0,0.0337,0.562,0.00859,0.0717,0.338,102.868,249773.0,False
143,Don't Doubt,5GXaARRwGvgiY1mOugw6Y4,0.633,0.285,0.0,-9.934,1.0,0.0292,0.499,1.24e-05,0.0857,0.396,109.827,244787.0,False
144,Gold In The Air,4zWCsM4lzJp6ou1YYOCgZI,0.379,0.286,2.0,-12.211,1.0,0.0359,0.945,0.0,0.138,0.248,169.365,201089.0,False
145,Off The Main Drag,5buf0tUN7uBXaITiNkjqAb,0.395,0.211,4.0,-15.917,1.0,0.0437,0.757,0.00224,0.103,0.44,56.715,224893.0,False
146,"Hamlet, Accidentally",4wxgdWt6RupjqgityEZ9vz,0.57,0.23,6.0,-13.448,1.0,0.0267,0.764,0.00419,0.12,0.0432,93.901,198707.0,False
147,Library Magic,4HjEsfSpWo8gvZMr9SA3a1,0.425,0.616,4.0,-7.585,1.0,0.0381,0.248,0.0,0.0978,0.532,89.705,193787.0,False
148,The Better Life,77nCtnLOfyF5ImOztB8rBU,0.59,0.663,8.0,-8.624,1.0,0.0266,0.252,0.0176,0.0782,0.728,150.056,219141.0,False
149,Four Feet in the Forest,4jhBBFUEOTvtHzLRHxcsAw,0.723,0.686,8.0,-9.277,1.0,0.0797,0.587,3.87e-05,0.214,0.756,146.868,214000.0,False
150,Iffy,26jTwp6phFiELR3454BUTk,0.425,0.294,10.0,-10.754,1.0,0.0498,0.793,8.43e-06,0.367,0.312,186.027,236348.0,False
151,Like The Dawn,3rhyMywAzKIALXc1uQYB1d,0.571,0.491,5.0,-11.351,0.0,0.0281,0.503,0.00568,0.098,0.37,96.028,305000.0,False
152,Porcelain,3G0a4nFOnLKRJryigXN0Tc,0.626,0.278,2.0,-15.12,1.0,0.036,0.803,0.106,0.111,0.333,137.991,261760.0,False
153,Dawning On Me,1widQ9TODdm2HQT95lgfQg,0.482,0.305,7.0,-14.315,1.0,0.0341,0.955,0.836,0.0875,0.463,94.71,199773.0,False
154,Little Worlds,7btxoqf0r9yh9SYlxziLMq,0.541,0.4,2.0,-9.305,1.0,0.0247,0.902,0.00149,0.115,0.511,102.977,210227.0,False
155,Ladyland,1fKUEaFNbpNeWtgIeGrLRh,0.489,0.288,3.0,-13.924,1.0,0.0439,0.819,0.0,0.261,0.392,90.338,104275.0,False
156,Saint Valentine,739oqfjALCWZgSNhyanIXC,0.543,0.358,3.0,-11.162,1.0,0.0324,0.937,0.0073,0.107,0.436,132.13,203947.0,False
157,Suitcase Full of Sparks,6qfg00bGlM1dQJwq08lZGi,0.521,0.44,0.0,-10.311,1.0,0.0304,0.935,0.0029,0.127,0.502,93.404,236653.0,False
158,The Farmer,09zy9G8XtZOS93sevCMAdx,0.54,0.615,8.0,-8.694,1.0,0.0506,0.33,2e-06,0.0976,0.201,124.9,246058.0,False
159,Gentle on My Mind,2nX2TPYt4QOuRdCfbPFq9o,0.488,0.326,3.0,-12.02,1.0,0.0328,0.945,0.0157,0.119,0.323,106.063,352280.0,False
160,Outsider,6ZgjkGLDsbWUi71KKepV6d,0.447,0.411,1.0,-11.182,0.0,0.0357,0.692,0.0448,0.12,0.173,63.933,284400.0,False
161,I Will Remain,1pRb7DlOyLPGcBJUJoAKOo,0.744,0.432,8.0,-11.173,1.0,0.0383,0.79,0.0135,0.111,0.682,123.933,206547.0,False
