track,id,playlist_id,playlist,top-track,duration_ms,mode,key,variable,value
Sará Perché Ti Amo,0KHn32LwEHyr9qi7olpaYf,5hJEgBdGwr6dWyf4lieSV9,2022,False,185998.0,1.0,8.0,loudness_normalized,0.1182818644636161
Calm Down,6hgoYQDUcPyCz7LcTUHKxa,5hJEgBdGwr6dWyf4lieSV9,2022,False,219813.0,1.0,11.0,loudness_normalized,0.18105051367252992
La vida moderna (feat. Love of Lesbian),67oh7LlJZOzQiZ7mM2GtRm,5hJEgBdGwr6dWyf4lieSV9,2022,False,193746.0,1.0,9.0,loudness_normalized,0.114074932170838
El Bien,2y7b6A4hhl3ysYlU2kztGD,5hJEgBdGwr6dWyf4lieSV9,2022,False,206227.0,1.0,9.0,loudness_normalized,0.08621162698533669
As It Was,4Dvkj6JhhA12EX05fT7y2e,2AjwEGmjc0VEaf25Dbjb1M,Life Is Wonderful,False,167303.0,0.0,6.0,loudness_normalized,0.15071792214126753
Do I Love You (Indeed I Do),0JsyYwcVC0PwaCewYnEBYJ,5hJEgBdGwr6dWyf4lieSV9,2022,False,147040.0,1.0,11.0,loudness_normalized,0.07822455263238118
Fabulous_Demo,726ciyvrGs455s80C2ZvHp,5hJEgBdGwr6dWyf4lieSV9,2022,False,200013.0,1.0,2.0,loudness_normalized,0.24674572447641976
Beautiful World,6QIayVxGLeIh0lap6S98NM,5hJEgBdGwr6dWyf4lieSV9,2022,False,183587.0,1.0,9.0,loudness_normalized,0.24674572447641976
Glass Of Wine,05B0oTmBb6xdUJ9VyxsaE0,5hJEgBdGwr6dWyf4lieSV9,2022,False,154987.0,1.0,6.0,loudness_normalized,0.2596713715208975
Una y Mil Veces - Rumba,2QFxZNTECGz7uGd7me4dzH,5hJEgBdGwr6dWyf4lieSV9,2022,False,199968.0,0.0,11.0,loudness_normalized,0.10334420632259242
Amapolas - Remix,44QxiGlmeSpF8boud04Rkc,2AjwEGmjc0VEaf25Dbjb1M,Life Is Wonderful,False,267339.0,1.0,7.0,loudness_normalized,0.2257110630125293
Bill Murray (voz de David Campos),7AEP4O2JAVvxdBfhrU0qaC,5hJEgBdGwr6dWyf4lieSV9,2022,False,274234.0,1.0,5.0,loudness_normalized,0.227235313843246
TV,3GYlZ7tbxLOxe6ewMNVTkw,37i9dQZF1DWYGZAMYFDM8S,Acoustic Chill,False,281381.0,0.0,4.0,loudness_normalized,0.4501112703106423
Deseos de Cosas Imposibles,6CIDsqMEEsBJf5Cv6RbuGw,5hJEgBdGwr6dWyf4lieSV9,2022,False,188800.0,1.0,11.0,loudness_normalized,0.14215163247263968
Canciones de Amor a Ti,3y8LURp2yO9vxB9Mrrsptd,5hJEgBdGwr6dWyf4lieSV9,2022,False,198947.0,1.0,0.0,loudness_normalized,0.1728805292198884
Yate,0q7psxaixBQ8FkqyVpbfky,5hJEgBdGwr6dWyf4lieSV9,2022,False,205507.0,0.0,6.0,loudness_normalized,0.2113831052037923
Centro Di Gravità Permanente - Remastered 2021,6OzeWNA1SQgZBw5caqAIKN,5hJEgBdGwr6dWyf4lieSV9,2022,False,239065.0,1.0,0.0,loudness_normalized,0.31820260342041884
Si No Estás,1OO0Qs5njyUWeLihFgYduu,5hJEgBdGwr6dWyf4lieSV9,2022,False,184061.0,1.0,5.0,loudness_normalized,0.25381824833094535
Bostezo Mundial,3j2ARZXSshDyebBV08K1OW,5hJEgBdGwr6dWyf4lieSV9,2022,False,212574.0,0.0,4.0,loudness_normalized,0.16385696430204552
