,track,id,playlist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist,top-track
10,Ghosts,0up48KQvGzMCrgqrfT07i2,5tOffZXVBFTMS7mkKQ3tpX,0.463,0.368,9.0,-11.546,1.0,0.048,0.376,0.0,0.149,0.75,141.974,179960.0,Indie Folk Chill,False
11,More Than I,4vNAb0jT8gpEXrf39HSTOz,5tOffZXVBFTMS7mkKQ3tpX,0.248,0.515,2.0,-9.754,1.0,0.0368,0.587,0.0974,0.138,0.24,175.273,270573.0,Indie Folk Chill,False
12,Northern Lights,3o2tw8emnaXFAIKBYdKW5T,5tOffZXVBFTMS7mkKQ3tpX,0.69,0.439,5.0,-9.476,1.0,0.0289,0.548,0.00117,0.163,0.261,114.118,174000.0,Indie Folk Chill,False
13,By My Side,50AtbZbvd3OXD2NDqy4G29,35oLMiAK4VM2T0ek3PTPIc,0.559,0.549,1.0,-10.845,0.0,0.0511,0.35,0.00156,0.173,0.101,114.925,155217.0,Chillin',False
14,Gone ( The Pocahontas Song),0wvCSSMj3gkLeJPl8E2FrK,5tOffZXVBFTMS7mkKQ3tpX,0.687,0.503,1.0,-10.358,0.0,0.0463,0.832,1.4e-06,0.0806,0.461,124.92,218500.0,Indie Folk Chill,False
15,As Luck Would Have It,1XHGkqgymzwzFWFWKqi6O8,5tOffZXVBFTMS7mkKQ3tpX,0.497,0.216,0.0,-11.723,0.0,0.0334,0.948,0.617,0.0793,0.115,77.118,124599.0,Indie Folk Chill,False
16,Woodland,431qZaQAJuIolwBrlDa6Yg,5tOffZXVBFTMS7mkKQ3tpX,0.435,0.523,0.0,-9.502,1.0,0.041,0.535,0.00011,0.162,0.374,178.301,231587.0,Indie Folk Chill,False
17,Untamed,2qVGmHSlfAhGZJifXVNwUI,5tOffZXVBFTMS7mkKQ3tpX,0.397,0.264,4.0,-11.396,1.0,0.029,0.784,0.176,0.113,0.0857,90.771,238213.0,Indie Folk Chill,False
18,Misty,0jX7GLf5pVGZpchy64sluA,5tOffZXVBFTMS7mkKQ3tpX,0.597,0.402,10.0,-7.961,1.0,0.0272,0.715,0.00297,0.111,0.241,95.119,224446.0,Indie Folk Chill,False
19,Featherstone,45p0MAVey0dnjZXo8kMUzh,5tOffZXVBFTMS7mkKQ3tpX,0.803,0.373,8.0,-13.692,1.0,0.0367,0.868,0.0266,0.104,0.636,124.921,229627.0,Indie Folk Chill,False
20,Umpqua Rushing,5KDYoDGFVjJ0QBOgZm87Wm,5tOffZXVBFTMS7mkKQ3tpX,0.472,0.598,0.0,-7.045,1.0,0.0357,0.215,0.00706,0.18,0.371,77.988,254747.0,Indie Folk Chill,False
21,Townes,1fHXIgOL2pO9RmbCvubju7,5tOffZXVBFTMS7mkKQ3tpX,0.548,0.21,9.0,-15.362,1.0,0.0319,0.906,0.096,0.114,0.614,143.618,254211.0,Indie Folk Chill,False
22,Home,12yzF0AXFLeeRYYGuyCUm1,7ozIozDp260fjNOZy1yzRG,0.49,0.42,1.0,-13.668,1.0,0.0313,0.189,0.0,0.322,0.398,99.997,122400.0,Chillout 2023,False
23,Down to the Sea,5zDKhDqRbiCPAPbh2M2Ave,5tOffZXVBFTMS7mkKQ3tpX,0.343,0.4,6.0,-12.575,1.0,0.0391,0.814,0.00624,0.102,0.125,150.76,247000.0,Indie Folk Chill,False
24,Fever To The Form,1QJnDJuYOGj05iSc4eWGr5,37i9dQZF1DWYGZAMYFDM8S,0.358,0.546,0.0,-8.927,0.0,0.0296,0.795,0.0586,0.111,0.264,106.489,252960.0,Acoustic Chill,False
25,Simple Things,0XAtJS1qj32yMeoDfia3Nt,5tOffZXVBFTMS7mkKQ3tpX,0.474,0.442,1.0,-14.753,1.0,0.0482,0.729,0.00687,0.108,0.523,132.834,265154.0,Indie Folk Chill,False
26,Old Pine,3CAX47TnPqTujLIQTw8nwI,37i9dQZF1DWYGZAMYFDM8S,0.401,0.364,5.0,-10.836,1.0,0.033,0.45,0.0503,0.162,0.224,129.57,328507.0,Acoustic Chill,False
27,The Girl I Haven't Met,6EaTwxekBZbk9SuKmmqQzm,5tOffZXVBFTMS7mkKQ3tpX,0.636,0.256,3.0,-12.127,1.0,0.0353,0.89,0.00414,0.117,0.274,104.921,179373.0,Indie Folk Chill,False
28,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D,37i9dQZF1DWYGZAMYFDM8S,0.591,0.416,1.0,-9.794,1.0,0.0246,0.882,0.000641,0.112,0.415,96.003,210080.0,Acoustic Chill,False
29,Red River Valley,6NSpccyjAT80BesuPjdLn1,5tOffZXVBFTMS7mkKQ3tpX,0.563,0.248,3.0,-16.357,1.0,0.0381,0.981,0.00147,0.223,0.588,96.571,131613.0,Indie Folk Chill,False
30,First Day Of My Life,5OiaAaIMYlCZONyDBxqk4G,5tOffZXVBFTMS7mkKQ3tpX,0.602,0.201,4.0,-17.024,1.0,0.0363,0.915,8.28e-05,0.0952,0.385,95.345,188800.0,Indie Folk Chill,False
31,Lights Off,5WbbSGSA8qb601YH4SqLA6,5tOffZXVBFTMS7mkKQ3tpX,0.611,0.33,7.0,-11.475,1.0,0.0504,0.862,0.0,0.18,0.418,150.075,232400.0,Indie Folk Chill,False
32,Arms,77pUuO8xtAzaG6TaDcbAxK,5tOffZXVBFTMS7mkKQ3tpX,0.506,0.841,1.0,-6.517,0.0,0.0345,0.121,0.203,0.276,0.569,103.578,172053.0,Indie Folk Chill,False
33,Tears Don't Fall,02p7KhGzlicIY8rvRVVION,5tOffZXVBFTMS7mkKQ3tpX,0.666,0.566,7.0,-12.136,1.0,0.0309,0.467,0.0269,0.144,0.819,149.441,192168.0,Indie Folk Chill,False
34,Iron in the Fire,4HMEqwIQ39BhjGHxWhDjJw,5tOffZXVBFTMS7mkKQ3tpX,0.62,0.518,9.0,-10.615,1.0,0.068,0.456,0.0111,0.375,0.159,92.993,221573.0,Indie Folk Chill,False
35,I Sing I Swim,5397UpyFdp4FSPE8xAZHHx,5tOffZXVBFTMS7mkKQ3tpX,0.601,0.469,0.0,-7.72,1.0,0.0324,0.795,0.00531,0.0772,0.346,120.015,219853.0,Indie Folk Chill,False
36,Tiger Striped Sky,4C2aiAVTTVyZbCQZst5Xu1,37i9dQZF1DWYGZAMYFDM8S,0.473,0.317,2.0,-10.324,1.0,0.0318,0.944,0.0124,0.11,0.132,139.899,241720.0,Acoustic Chill,False
37,Wildfire,7eMuquGvl8dWNWwISPOmQd,5tOffZXVBFTMS7mkKQ3tpX,0.648,0.352,4.0,-10.11,1.0,0.0278,0.692,0.262,0.106,0.173,121.461,329893.0,Indie Folk Chill,False
38,Down in the Valley,5Gtn8HgCAo0TUiaKKgP6us,5tOffZXVBFTMS7mkKQ3tpX,0.418,0.403,0.0,-10.53,1.0,0.0294,0.555,0.024,0.108,0.149,105.801,303653.0,Indie Folk Chill,False
39,Where I Want To Go - Single Version,5yNPZgat8PQNNn02W9Zuzv,5tOffZXVBFTMS7mkKQ3tpX,0.399,0.463,9.0,-8.249,0.0,0.0282,0.648,0.0174,0.0931,0.317,150.387,200259.0,Indie Folk Chill,False
40,Coastline,4MFJja8C5DQGWstBew2BUC,35oLMiAK4VM2T0ek3PTPIc,0.686,0.817,2.0,-6.035,1.0,0.046,0.265,0.000186,0.415,0.474,121.996,182521.0,Chillin',False
41,Spring To Come,3NDzZy7i8lpf43Niy8pwtB,5tOffZXVBFTMS7mkKQ3tpX,0.632,0.67,7.0,-8.18,1.0,0.0336,0.713,0.00182,0.211,0.102,111.031,253400.0,Indie Folk Chill,False
42,Cavalry,26JL2BIDHH0Sy5VAOBYRWW,5tOffZXVBFTMS7mkKQ3tpX,0.48,0.273,2.0,-11.045,1.0,0.0318,0.911,0.000128,0.0911,0.439,124.579,196493.0,Indie Folk Chill,False
43,Blue Ridge Mountains,6T8qnBbc2rxlWLiweD1e5M,5tOffZXVBFTMS7mkKQ3tpX,0.524,0.446,8.0,-7.823,0.0,0.0275,0.688,0.000745,0.101,0.272,97.856,265773.0,Indie Folk Chill,False
44,Morning Rain,5VWwTfiRLn0L29cs9MNque,5tOffZXVBFTMS7mkKQ3tpX,0.519,0.293,2.0,-11.192,1.0,0.0303,0.709,0.51,0.114,0.291,112.292,234160.0,Indie Folk Chill,False
45,Spirit Cold,1vG6jMgSoqT3zG9tuDrL2E,37i9dQZF1DWYGZAMYFDM8S,0.411,0.662,11.0,-6.158,1.0,0.032,0.211,0.0067,0.176,0.356,155.858,222293.0,Acoustic Chill,False
46,Stolen from Them,5UJMcrznVASaSa5uELxU88,5tOffZXVBFTMS7mkKQ3tpX,0.483,0.259,1.0,-14.436,1.0,0.0301,0.896,0.0,0.105,0.648,92.976,199213.0,Indie Folk Chill,False
47,Mexico,6x7oPOBrfsqx9WbON5X1go,5tOffZXVBFTMS7mkKQ3tpX,0.558,0.117,5.0,-16.958,1.0,0.0345,0.964,0.000686,0.0847,0.174,131.847,246414.0,Indie Folk Chill,False
48,Slacks,01qIefOW1UdSDS1mHoSZ3x,5tOffZXVBFTMS7mkKQ3tpX,0.751,0.528,11.0,-9.582,1.0,0.0865,0.769,4.9e-06,0.0782,0.326,126.013,206635.0,Indie Folk Chill,False
49,Burning Ground,0IbrXdAcOPb7BCQqK9NqBh,5tOffZXVBFTMS7mkKQ3tpX,0.541,0.39,7.0,-10.913,1.0,0.0256,0.807,0.00673,0.158,0.149,97.822,235302.0,Indie Folk Chill,False
50,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,5tOffZXVBFTMS7mkKQ3tpX,0.545,0.366,2.0,-9.51,1.0,0.0378,0.969,0.267,0.641,0.1,86.997,208212.0,Indie Folk Chill,False
51,Ocean Stone,7q0Wc4fuSeNNHWCmoRg90M,5tOffZXVBFTMS7mkKQ3tpX,0.447,0.236,2.0,-14.354,1.0,0.0435,0.876,3.85e-06,0.131,0.414,106.611,182360.0,Indie Folk Chill,False
52,The Woods,08bo51XXjxoJRv3O9tuUaj,5tOffZXVBFTMS7mkKQ3tpX,0.802,0.41,9.0,-12.793,1.0,0.0454,0.411,0.00107,0.0941,0.224,106.047,241547.0,Indie Folk Chill,False
53,Bees,3Iju4sprTb8as0be1A41q6,5tOffZXVBFTMS7mkKQ3tpX,0.516,0.136,0.0,-15.263,1.0,0.0352,0.774,0.0,0.139,0.428,101.58,190120.0,Indie Folk Chill,False
54,Waiting Here,17v2VWT9tQIkF3sFqRvtNL,5tOffZXVBFTMS7mkKQ3tpX,0.656,0.545,4.0,-8.746,1.0,0.0255,0.226,0.00401,0.231,0.395,124.948,234240.0,Indie Folk Chill,False
55,Settled Down,3RTHR8VIPTU7s8GWRWy7Dp,5tOffZXVBFTMS7mkKQ3tpX,0.599,0.294,5.0,-10.222,1.0,0.0279,0.851,0.0398,0.102,0.308,118.208,183733.0,Indie Folk Chill,False
56,My Favourite Story,0wAyCcyHN7TmVe9EACLpCc,5tOffZXVBFTMS7mkKQ3tpX,0.643,0.495,4.0,-10.373,1.0,0.0322,0.515,0.000414,0.109,0.684,103.915,222540.0,Indie Folk Chill,False
57,That Moon Song,3lw0CSMQ88LcN0ZMP6DlWi,5tOffZXVBFTMS7mkKQ3tpX,0.255,0.394,2.0,-12.609,1.0,0.0309,0.653,0.1,0.148,0.267,145.315,214227.0,Indie Folk Chill,False
58,Call It Dreaming,1MxHIIzcTeFnaNsDGY3pfj,37i9dQZF1DWYGZAMYFDM8S,0.512,0.501,5.0,-9.971,1.0,0.0325,0.609,6.25e-05,0.0973,0.726,79.989,231755.0,Acoustic Chill,False
59,The Flood,2YdU9FRM7fYiZ9B2KOUIpl,5tOffZXVBFTMS7mkKQ3tpX,0.577,0.446,6.0,-11.343,1.0,0.0313,0.554,0.0782,0.116,0.262,81.005,261640.0,Indie Folk Chill,False
60,Fare Thee Well (Dink's Song),0YOOXnCJihgyluizqhAcrz,5tOffZXVBFTMS7mkKQ3tpX,0.495,0.434,2.0,-8.079,1.0,0.0313,0.897,0.000393,0.109,0.23,82.16,180400.0,Indie Folk Chill,False
61,Let It Breathe,52uKQxYJKHpYz0DEwKLltI,5tOffZXVBFTMS7mkKQ3tpX,0.5,0.151,11.0,-16.107,1.0,0.0348,0.893,6.54e-05,0.111,0.3,113.969,159646.0,Indie Folk Chill,False
62,Wandering Child,0BIubA1OOVNkFtkZXBe3gP,5tOffZXVBFTMS7mkKQ3tpX,0.671,0.36,2.0,-11.696,1.0,0.0367,0.792,3.13e-06,0.0967,0.335,98.034,184550.0,Indie Folk Chill,False
63,Simple Song,70HWRkitkAKfos500LBk0T,5tOffZXVBFTMS7mkKQ3tpX,0.631,0.402,5.0,-11.125,1.0,0.0286,0.616,0.0114,0.0892,0.598,78.0,228480.0,Indie Folk Chill,False
64,Crater Lake,1lat1ihaU57L6V7s15SQXz,5tOffZXVBFTMS7mkKQ3tpX,0.475,0.264,10.0,-11.452,1.0,0.0745,0.957,0.0,0.156,0.135,81.922,114120.0,Indie Folk Chill,False
65,Amsterdam,7iQmjnDXYngWGsbjVnDc1U,5tOffZXVBFTMS7mkKQ3tpX,0.553,0.429,3.0,-12.51,1.0,0.0283,0.921,0.135,0.115,0.532,152.047,198640.0,Indie Folk Chill,False
66,On Trees And Birds And Fire,3YnzkpXK1J9fnnoJRG8FUB,5tOffZXVBFTMS7mkKQ3tpX,0.589,0.311,10.0,-13.573,1.0,0.0395,0.901,0.0661,0.117,0.641,199.887,176800.0,Indie Folk Chill,False
67,Up to Me,7HQTrJe9q9yxirrbdNAMcM,5tOffZXVBFTMS7mkKQ3tpX,0.64,0.381,4.0,-11.79,1.0,0.0302,0.911,0.000254,0.104,0.581,91.49,193533.0,Indie Folk Chill,False
68,I Am Not in Love Anymore,1IcwyDAAdo5mYIC5ujB9sz,5tOffZXVBFTMS7mkKQ3tpX,0.541,0.619,4.0,-7.247,0.0,0.0299,0.261,1.24e-05,0.112,0.381,87.828,278958.0,Indie Folk Chill,False
69,Waiting Around - Acoustic,6sFLeTTehG9M2nmZ3jKJ1p,5tOffZXVBFTMS7mkKQ3tpX,0.484,0.149,0.0,-14.991,1.0,0.0372,0.987,0.00811,0.111,0.123,144.589,152960.0,Indie Folk Chill,False
70,Back to Autumn,3TdZbELsPLWYZAArGSfwyQ,5tOffZXVBFTMS7mkKQ3tpX,0.478,0.587,8.0,-8.032,1.0,0.0304,0.461,0.00107,0.069,0.34,110.919,199653.0,Indie Folk Chill,False
71,Paint,6uHvbKL0Yi37AuvNRmUfMw,37i9dQZF1E4vEir6itRijY,0.364,0.308,4.0,-13.052,1.0,0.0402,0.895,0.0023,0.123,0.387,73.328,191773.0,Sons Of The East Radio,False
72,Horse to Water,0szmjOw9XbtbQYWz0GvXSp,37i9dQZF1DWYGZAMYFDM8S,0.519,0.622,6.0,-9.135,0.0,0.0319,0.343,0.0699,0.497,0.514,97.004,244960.0,Acoustic Chill,False
73,Carry You,0u4rkpmNtgcFxYHepnVF4v,5tOffZXVBFTMS7mkKQ3tpX,0.334,0.397,7.0,-7.993,1.0,0.0284,0.558,0.0774,0.126,0.035,93.445,273107.0,Indie Folk Chill,False
74,Barcelona,58Qol5xzalwqF912GE9vQv,5tOffZXVBFTMS7mkKQ3tpX,0.629,0.572,5.0,-9.332,1.0,0.0307,0.32,0.000853,0.109,0.182,93.997,188960.0,Indie Folk Chill,False
75,Runaway,541OLGN9Qfp5lizRnGk8fG,5U2MYFAcQ3yT7XbHYgGPmb,0.714,0.84,0.0,-6.141,1.0,0.15,0.21,0.0,0.0461,0.194,125.955,187124.0,House,False
76,Angela (Single Version),5kGBSOrKYmhRfdPBw4xD8D,3FInOSJaKv5QzLQrd3lCgA,0.652,0.601,4.0,-7.988,1.0,0.0317,0.625,0.000165,0.17,0.302,130.308,178840.0,JP,False
77,Colder Heavens,6JOmZY3BQcnM6A5DIxn5xB,5tOffZXVBFTMS7mkKQ3tpX,0.383,0.547,5.0,-9.899,0.0,0.0376,0.771,0.00216,0.0913,0.282,91.899,273893.0,Indie Folk Chill,False
78,Where's My Love - Acoustic,6lvGthAouA0KfQ29tz4XAt,5tOffZXVBFTMS7mkKQ3tpX,0.554,0.226,3.0,-11.323,1.0,0.0281,0.891,0.0321,0.107,0.229,104.005,239880.0,Indie Folk Chill,False
79,El Buho,3E2dyGd4VQaY6uWHyQ9ok7,5tOffZXVBFTMS7mkKQ3tpX,0.553,0.391,3.0,-12.303,0.0,0.0315,0.933,0.00123,0.0993,0.242,105.989,231707.0,Indie Folk Chill,False
80,Vagabond,2R3I5DiDf8bLz2QjrPmUpk,37i9dQZF1DWYGZAMYFDM8S,0.571,0.399,4.0,-11.92,1.0,0.0364,0.766,0.0146,0.0926,0.612,141.932,129464.0,Acoustic Chill,False
81,Making All Things New,0g3Vm5xbQsDslbTeN9SwEb,5tOffZXVBFTMS7mkKQ3tpX,0.787,0.343,0.0,-11.413,1.0,0.0298,0.895,0.0275,0.11,0.47,100.007,159600.0,Indie Folk Chill,False
82,The Moons Detriment,6dRKRVyjzxa2efBCXZez6R,5tOffZXVBFTMS7mkKQ3tpX,0.519,0.173,11.0,-16.078,1.0,0.0284,0.932,0.113,0.102,0.282,92.306,155000.0,Indie Folk Chill,False
83,Nimbin,6wHgmOZfLWmn685tDFXsX7,5tOffZXVBFTMS7mkKQ3tpX,0.357,0.406,4.0,-10.148,1.0,0.0491,0.745,0.0324,0.0754,0.186,73.677,283653.0,Indie Folk Chill,False
84,You Sigh,7hMKqhlMqxF7ULZiUMN5AH,5tOffZXVBFTMS7mkKQ3tpX,0.629,0.451,6.0,-9.974,1.0,0.0284,0.852,0.06,0.141,0.681,90.965,178827.0,Indie Folk Chill,False
85,Distant Sures,6uBexmz61ckt5XQRqTgF3M,5tOffZXVBFTMS7mkKQ3tpX,0.604,0.363,10.0,-11.674,1.0,0.0295,0.876,0.166,0.165,0.672,88.377,191267.0,Indie Folk Chill,False
86,Love Brought Weight,66deoxrDAEK7Qg1p0Vioxe,37i9dQZF1DWYGZAMYFDM8S,0.366,0.327,7.0,-15.603,1.0,0.0344,0.699,0.363,0.0759,0.066,116.66,185747.0,Acoustic Chill,False
87,New Wall,5oF2zpG0BoSdqVkN7bwyWs,5tOffZXVBFTMS7mkKQ3tpX,0.56,0.143,8.0,-15.333,1.0,0.0363,0.872,1.37e-06,0.109,0.344,138.37,158427.0,Indie Folk Chill,False
88,Minimum,4FwaJmXeZxr1096KItcUQq,5tOffZXVBFTMS7mkKQ3tpX,0.492,0.841,0.0,-9.181,0.0,0.0904,0.729,0.00027,0.101,0.313,177.869,194907.0,Indie Folk Chill,False
89,The Stable Song,3G9ETaH55bMQx8hwNhAgbU,5tOffZXVBFTMS7mkKQ3tpX,0.626,0.432,2.0,-11.948,1.0,0.0283,0.633,0.00239,0.127,0.361,137.93,360933.0,Indie Folk Chill,False
90,Whisper In Her Ear,5YuHMfznSrE6qsKGQzcAnO,5tOffZXVBFTMS7mkKQ3tpX,0.586,0.208,5.0,-15.224,1.0,0.0343,0.947,0.0177,0.133,0.451,90.574,244520.0,Indie Folk Chill,False
91,All Is Well,700xxgbIpH0YNMideY7sWR,5tOffZXVBFTMS7mkKQ3tpX,0.316,0.413,11.0,-12.216,1.0,0.0334,0.856,0.00245,0.143,0.245,155.69,256680.0,Indie Folk Chill,False
92,House of Stone,1Cy1mZ5KVGh4lU5gyBEmpq,5tOffZXVBFTMS7mkKQ3tpX,0.413,0.171,2.0,-12.314,1.0,0.0293,0.929,0.00591,0.083,0.166,81.966,196813.0,Indie Folk Chill,False
93,Digging Shelters,2Z9l8Des6klAaz83wTKXnP,37i9dQZF1DWYGZAMYFDM8S,0.513,0.274,4.0,-11.394,1.0,0.0286,0.835,0.0976,0.11,0.279,76.375,220867.0,Acoustic Chill,False
94,Skinny Love,1NyFRrFiJAJIaR6icj1goI,5tOffZXVBFTMS7mkKQ3tpX,0.592,0.256,4.0,-14.031,0.0,0.0449,0.842,2.38e-06,0.088,0.103,76.361,238533.0,Indie Folk Chill,False
95,Holocene,6DESft0qm6RhoYf5wzeoGH,5hJEgBdGwr6dWyf4lieSV9,0.38,0.306,1.0,-14.446,1.0,0.0305,0.942,0.323,0.123,0.157,147.889,336613.0,2022,False
96,Chrysalis,6AKka4GmQYHOy624YSPCSh,5tOffZXVBFTMS7mkKQ3tpX,0.573,0.383,3.0,-18.81,1.0,0.0719,0.956,0.768,0.106,0.0814,170.969,224839.0,Indie Folk Chill,False
97,Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,37i9dQZF1DWYGZAMYFDM8S,0.6,0.186,3.0,-15.926,1.0,0.0317,0.909,0.00102,0.104,0.468,110.044,217467.0,Acoustic Chill,False
98,Mango Tree,0VII3kl4B4IbJ5Hpk9KPwf,5tOffZXVBFTMS7mkKQ3tpX,0.619,0.454,7.0,-13.313,1.0,0.0285,0.842,0.152,0.0953,0.389,108.28,223467.0,Indie Folk Chill,False
99,Troubles Will Be Gone,7wH9OVoKhETiy1jFEzfFA8,5tOffZXVBFTMS7mkKQ3tpX,0.486,0.43,2.0,-8.308,1.0,0.0326,0.934,1.21e-05,0.126,0.623,120.45,181853.0,Indie Folk Chill,False
100,July,3vfG9ucWJPkQltYbkZVunx,5tOffZXVBFTMS7mkKQ3tpX,0.597,0.312,7.0,-11.451,1.0,0.0412,0.873,1.34e-06,0.129,0.266,105.85,194023.0,Indie Folk Chill,False
101,Jolene,2fSIF8CJhoc9CJhF9vJDXp,5tOffZXVBFTMS7mkKQ3tpX,0.588,0.142,7.0,-15.196,1.0,0.0329,0.863,0.000162,0.0953,0.288,119.656,250867.0,Indie Folk Chill,False
102,Dreamer,4bqeBWlKwz8PoEjI4v7ggz,37i9dQZF1DWYGZAMYFDM8S,0.678,0.482,2.0,-11.097,0.0,0.0426,0.726,0.00319,0.0803,0.317,100.008,220564.0,Acoustic Chill,False
103,Little River,5jDtpfcwpvaY8lU4ha7NKC,5tOffZXVBFTMS7mkKQ3tpX,0.477,0.284,10.0,-8.791,1.0,0.0431,0.934,1.68e-06,0.118,0.376,100.423,225920.0,Indie Folk Chill,False
104,The Guy That Says Goodbye To You Is Out Of His Mind,3KsWQeEN4RhdNyZidVYlck,5tOffZXVBFTMS7mkKQ3tpX,0.615,0.405,2.0,-13.242,1.0,0.0484,0.644,2.54e-06,0.145,0.525,93.498,196507.0,Indie Folk Chill,False
105,Quiet Town,5B6bSSnk7Wr4Fnb4ohNzry,5tOffZXVBFTMS7mkKQ3tpX,0.602,0.491,7.0,-11.92,1.0,0.0308,0.226,0.000398,0.118,0.871,113.981,151973.0,Indie Folk Chill,False
106,Dirty Old Town,567EmmCbOtpEuaVC2zznU6,5tOffZXVBFTMS7mkKQ3tpX,0.555,0.418,0.0,-12.7,1.0,0.0455,0.309,0.00119,0.237,0.328,159.764,246453.0,Indie Folk Chill,False
107,Forest Fires,6AQ3guMjWgetjRpQASwrE5,5tOffZXVBFTMS7mkKQ3tpX,0.623,0.292,7.0,-12.26,0.0,0.0313,0.698,9.86e-06,0.121,0.161,118.007,210925.0,Indie Folk Chill,False
108,In Your Arms,7fKF4HdftIEt3lLAy3rDG6,3FInOSJaKv5QzLQrd3lCgA,0.648,0.564,5.0,-10.269,1.0,0.0682,0.673,0.0,0.115,0.377,92.958,215238.0,JP,False
109,Bones,0HqZX76SFLDz2aW8aiqi7G,5hJEgBdGwr6dWyf4lieSV9,0.773,0.742,5.0,-3.678,0.0,0.046,0.0206,0.0,0.0754,0.571,114.071,165265.0,2022,False
110,Gone Tomorrow,5CQHTuNbYlEA4fZdxQ4PMi,5tOffZXVBFTMS7mkKQ3tpX,0.585,0.239,9.0,-15.167,1.0,0.0309,0.697,0.00133,0.159,0.0933,101.182,207520.0,Indie Folk Chill,False
111,Orange Sky,6yeh88TFXEyLvSk3BlfAI5,5tOffZXVBFTMS7mkKQ3tpX,0.643,0.334,7.0,-11.893,1.0,0.0544,0.843,0.00369,0.0581,0.4,139.488,371147.0,Indie Folk Chill,False
112,All My Days,5NwpfDSHmNc7gu23GQK5DF,37i9dQZF1DWYGZAMYFDM8S,0.438,0.319,2.0,-15.969,1.0,0.0304,0.789,0.756,0.106,0.529,88.538,297307.0,Acoustic Chill,False
113,Helplessness Blues,1pbOvzdkL5iujppWgzBQdS,5tOffZXVBFTMS7mkKQ3tpX,0.324,0.463,8.0,-7.247,1.0,0.0336,0.0781,5.63e-06,0.103,0.2,125.295,303387.0,Indie Folk Chill,False
114,Let's Be Still,5IJnj6Um7jVuRPT4WGj1z6,5tOffZXVBFTMS7mkKQ3tpX,0.636,0.411,9.0,-10.723,1.0,0.0278,0.678,0.00425,0.106,0.564,130.679,268347.0,Indie Folk Chill,False
115,Only Love,7DSBxP0sGTuEb249LMJSLY,35oLMiAK4VM2T0ek3PTPIc,0.647,0.81,2.0,-5.804,1.0,0.0521,0.0658,0.00236,0.237,0.648,108.011,172222.0,Chillin',False
116,Shape of Love,3eeIdvZqXaffY0yVRgbGfQ,5tOffZXVBFTMS7mkKQ3tpX,0.625,0.736,1.0,-8.658,0.0,0.0325,0.118,0.0,0.167,0.909,105.529,188453.0,Indie Folk Chill,False
